Codi;PORIND
0801902220;51
0801902221;31
0801902224;27
0801902226;22
0801902229;28
0801902230;53
0801902231;32
0801902232;21
0801902233;33
0801902234;25
0801902236;38
0801902237;43
0801902238;49
0801902239;43
0801902240;65
0801902241;56
0801902243;62
0801902244;55
0801902246;91
0801902247;65
0801902248;51
0801902249;50
0801902251;75
0801902252;57
0801902253;74
0801902255;41
0801902256;38
0801902257;52
0801902258;68
0801902259;47
0801902260;42
0801902261;35
0801902262;69
0801902264;49
0801902265;55
0801902266;61
0801902267;46
0801902268;50
0801902269;60
0801902271;85
0801902272;58
0801902273;71
0801902274;62
0801902275;50
0801902276;88
0801902277;59
0801902278;56
0801902279;51
0801902280;54
0801902281;47
0801902282;52
0801902283;63
0801902284;75
0801902285;79
0801902286;21
0801902287;56
0801902288;61
0801902289;65
0801902290;43
0801902292;38
0801902294;33
0801902295;38
0801902296;32
0801902297;45
0801902298;56
0801902300;45
0801902301;52
0801902302;66
0801902303;47
0801902304;59
0801902305;69
0801902306;43
0801902307;87
0801902308;58
0801902309;55
0801902311;62
0801902312;40
0801902314;28
0801902315;46
0801902317;85
0801903001;115
0801903003;70
0801903004;105
0801903006;70
0801903007;41
0801903008;84
0801903010;130
0801903012;95
0801903014;61
0801903015;44
0801903016;76
0801903017;76
0801903018;82
0801903019;44
0801903020;37
0801903022;89
0801903023;127
0801903024;68
0801903025;105
0801903026;46
0801903029;62
0801903030;87
0801903032;82
0801903033;57
0801903037;81
0801903038;89
0801903039;103
0801903041;81
0801903042;63
0801903043;80
0801903045;61
0801903047;65
0801903048;90
0801903049;66
0801903050;58
0801903053;40
0801903055;73
0801903056;41
0801903057;38
0801903061;32
0801903062;111
0801903065;90
0801903066;146
0801903067;59
0801903068;180
0801903069;193
0801903071;201
0801903072;841
0801903073;322
0801903074;422
0801903075;241
0801903076;116
0801903077;163
0801903078;80
0801903080;60
0801903081;27
0801903082;162
0801903083;85
0801903084;57
0801903085;83
0801903086;52
0801903087;49
0801903088;78
0801903089;53
0801903090;61
0801903091;100
0801903092;40
0801903093;50
0801903094;54
0801903095;58
0801903097;59
0801903098;94
0801903100;105
0801903101;104
0801903102;81
0801903103;65
0801903104;97
0801903106;31
0801903107;111
0801903109;250
0801903110;200
0801903111;227
0801903112;87
0801903113;75
0801903114;64
0801903115;108
0801903117;73
0801903118;63
0801903119;39
0801903120;77
0801903121;69
0801903122;78
0801903124;54
0801903125;70
0801903127;43
0801903128;47
0801903129;63
0801903130;121
0801903132;96
0801903133;41
0801903134;210
0801903135;93
0801903137;87
0801903138;72
0801903139;47
0801903140;46
0801903141;58
0801903142;61
0801903143;41
0801903144;68
0801903146;48
0801903147;70
0801903148;76
0801903149;50
0801903150;42
0801903151;66
0801903152;47
0801903153;112
0801903154;66
0801903157;68
0801903159;51
0801903160;83
0801903162;73
0801903163;47
0801903164;36
0801903165;30
0801903167;64
0801903168;77
0801903169;80
0801903170;115
0801903172;72
0801903173;70
0801903176;56
0801903177;45
0801903178;57
0801903179;61
0801903180;83
0801903182;48
0801903183;103
0801903184;96
0801903185;74
0801903186;78
0801903188;58
0801903189;76
0801903191;103
0801903192;57
0801903193;146
0801903195;50
0801903196;69
0801903197;70
0801903198;138
0801903199;69
0801903200;67
0801903201;130
0801903202;104
0801903204;85
0801903205;61
0801903207;87
0801903208;54
0801903209;80
0801903210;99
0801904001;48
0801904002;55
0801904003;35
0801904004;82
0801904005;70
0801904006;71
0801904007;91
0801904008;44
0801904010;148
0801904011;141
0801904012;31
0801904013;70
0801904014;53
0801904015;80
0801904016;179
0801904017;35
0801904018;88
0801904019;91
0801904020;62
0801904021;40
0801904022;53
0801904023;52
0801904024;40
0801904025;50
0801904026;63
0801904027;53
0801904028;72
0801904029;55
0801904030;52
0801904032;61
0801904033;38
0801904034;49
0801904035;60
0801904036;25
0801904037;84
0801904038;38
0801904039;34
0801904040;47
0801904041;57
0801904042;72
0801904043;36
0801904044;36
0801904045;49
0801904048;51
0801904050;26
0801904051;14
0801904052;23
0801904053;38
0801904054;26
0801904055;19
0801904057;42
0801904058;30
0801904060;40
0801904061;40
0801904062;43
0801904063;39
0801904065;51
0801904066;51
0801904068;19
0801904069;41
0801904071;64
0801904073;34
0801904074;53
0801904075;11
0801904076;35
0801904077;41
0801904078;42
0801904079;25
0801904081;20
0801904082;26
0801904083;95
0801905001;17
0801905002;15
0801905003;28
0801905004;19
0801905005;16
0801905006;26
0801905008;14
0801905010;33
0801905011;19
0801905013;22
0801905014;17
0801905015;27
0801905016;25
0801905018;20
0801905019;12
0801905020;14
0801905021;16
0801905023;18
0801905024;17
0801905025;17
0801905027;20
0801905028;18
0801905029;24
0801905031;15
0801905032;18
0801905033;18
0801905034;16
0801905035;30
0801905037;26
0801905038;18
0801905039;19
0801905040;16
0801905041;23
0801905042;23
0801905043;21
0801905045;17
0801905046;15
0801905047;9
0801905048;23
0801905049;17
0801905050;16
0801905052;13
0801905053;18
0801905054;22
0801905055;27
0801905056;21
0801905057;12
0801905058;41
0801905059;18
0801905060;15
0801905061;15
0801905062;11
0801905064;22
0801905065;24
0801905067;24
0801905068;21
0801905069;50
0801905070;27
0801905072;27
0801905073;36
0801905075;23
0801905076;19
0801905077;40
0801905079;28
0801905080;43
0801905081;16
0801905082;37
0801905084;52
0801905086;30
0801905087;24
0801905088;11
0801905089;20
0801905090;21
0801905091;58
0801905093;23
0801905094;15
0801905095;25
0801905096;21
0801905097;43
0801905098;23
0801905099;21
